f1,v1,f2,v2,f3,v3,f4,v4,a1,a2,a3
-41,0,-39,1,-16,0,-6,0,36,89,-35
-40,0,-31,2,-15,0,-6,0,36,89,-34
-40,0,-26,3,-15,0,-6,0,36,90,-35
-39,0,-18,4,-13,0,-6,0,36,90,-35
-39,0,-18,4,-13,0,-6,0,36,90,-35
-35,1,4,5,-9,0,-5,0,35,90,-36
-31,1,13,7,-5,2,-4,0,35,89,-35
-21,3,33,8,4,3,-1,0,35,89,-35
1,6,56,8,14,3,4,1,34,89,-35
11,7,68,8,20,4,9,2,34,89,-36
22,8,81,9,27,4,14,3,34,89,-36
55,10,108,10,44,6,32,5,34,89,-36
55,10,108,10,44,6,32,5,34,89,-36
93,14,131,10,65,7,58,8,33,90,-37
112,15,139,9,76,8,75,10,32,91,-38
112,15,139,9,76,8,75,10,32,91,-38
135,12,149,5,87,6,107,12,31,91,-40
144,10,151,5,91,6,120,12,30,91,-41
152,8,155,3,95,3,132,11,30,92,-41
152,8,155,3,95,3,132,11,30,92,-41
162,5,160,2,104,3,152,9,28,92,-42
165,4,162,2,107,3,161,8,27,92,-43
167,3,163,2,110,3,168,8,27,92,-43
169,2,164,1,112,2,175,6,26,91,-43
170,1,165,1,115,2,182,6,26,91,-42
171,1,167,1,118,2,188,5,26,91,-41
172,1,168,1,120,2,193,5,26,90,-40
73,0,169,1,123,2,198,5,26,89,-40
73,0,169,1,123,2,198,5,26,89,-40
175,0,169,0,126,1,204,3,25,89,-38
176,0,170,0,127,1,206,2,26,89,-38
177,0,171,0,128,1,208,2,25,89,-37
177,0,172,0,130,1,209,2,25,90,-37
179,0,173,0,131,1,212,1,25,90,-37
179,0,173,0,132,1,213,1,24,89,-38
180,0,174,0,133,1,214,1,24,89,-38
179,0,176,0,134,1,216,1,22,90,-39
180,0,176,0,135,0,216,0,21,91,-39
180,0,176,0,135,0,216,0,21,91,-39
180,0,176,0,134,0,216,0,20,89,-40
180,0,175,0,132,0,215,0,20,89,-40
180,0,174,0,132,0,215,0,19,89,-40
180,0,174,0,132,0,214,0,19,89,-41
180,0,174,0,132,0,214,0,19,90,-41
180,0,174,0,132,0,215,0,19,90,-41
180,0,174,0,132,0,215,0,19,89,-41
180,0,174,0,131,0,214,0,19,89,-42
180,0,173,0,131,0,214,0,18,90,-42
180,0,173,0,131,0,214,0,18,91,-42
179,0,172,0,131,0,213,0,18,92,-42
179,0,172,0,130,0,212,0,19,91,-41
179,0,172,0,130,0,213,0,19,91,-41
179,0,172,0,129,0,211,0,18,92,-41
179,0,172,0,129,0,211,0,18,92,-41
178,0,170,0,126,0,207,0,19,90,-39
177,0,169,0,124,-1,205,-1,19,89,-38
177,0,169,0,124,-1,205,-1,19,89,-38
174,0,166,0,120,-1,200,-1,18,90,-38
172,-1,165,-1,118,-1,198,-1,18,91,-37
171,-1,164,-1,117,-1,195,-2,18,91,-37
170,-1,163,-1,115,-1,192,-2,19,90,-35
163,-1,159,-1,113,-1,175,-4,20,89,-34
157,-2,157,-1,111,-1,161,-6,20,90,-34
148,-4,154,-1,105,-2,140,-10,19,91,-34
135,-6,145,-3,94,-4,107,-15,19,93,-34
109,-9,127,-6,70,-8,54,-21,21,93,-33
95,-10,115,-7,59,-9,38,-20,20,93,-33
83,-10,102,-8,50,-8,27,-16,20,93,-33
83,-10,102,-8,50,-8,27,-16,20,93,-33
59,-10,74,-9,35,-7,14,-11,19,95,-33
59,-10,74,-9,35,-7,14,-11,19,95,-33
42,-8,52,-10,26,-4,8,-3,19,98,-33
36,-6,43,-9,23,-3,5,-2,19,98,-33
31,-5,34,-8,21,-2,3,-2,19,99,-33
21,-4,20,-6,15,-2,-1,-1,19,100,-32
18,-3,16,-5,12,-2,-3,-1,19,101,-32
15,-3,12,-4,10,-2,-4,-1,19,101,-31
12,-2,10,-3,9,-1,-5,-1,20,100,-31
10,-2,9,-3,7,-1,-5,-1,20,99,-30
8,-2,7,-1,6,-1,-5,0,21,99,-30
8,-1,6,-1,6,0,-5,0,21,98,-29
6,-1,4,-1,5,0,-5,0,22,98,-28
5,0,2,-1,4,0,-5,0,23,96,-27
5,0,2,-1,4,0,-5,0,23,96,-27
4,0,-2,-1,3,0,-5,0,24,96,-27
3,0,-3,-1,2,0,-5,0,24,96,-27
2,0,-6,-1,2,0,-5,0,25,96,-27
1,0,-8,-1,1,0,-5,0,25,95,-27
0,0,-11,-1,0,0,-5,0,25,95,-28
-1,0,-12,-1,-1,0,-5,0,25,95,-28
-2,0,-14,-1,-1,0,-5,0,25,95,-28
-3,0,-15,-1,-2,0,-5,0,25,96,-29
-4,0,-16,-1,-2,0,-5,0,25,96,-29
-4,0,-17,-1,-3,0,-5,0,25,96,-29
-5,0,-18,0,-3,0,-5,0,25,95,-29
-5,0,-19,0,-4,0,-5,0,25,96,-29
-6,0,-20,0,-4,0,-5,0,25,96,-29
-8,0,-21,0,-5,0,-5,0,25,96,-28
-8,0,-22,0,-6,0,-5,0,25,96,-28
-8,0,-22,0,-6,0,-5,0,25,96,-28
-10,0,-23,0,-6,0,-6,0,25,96,-28
-11,0,-24,0,-7,0,-5,0,25,96,-28
-12,0,-26,0,-7,0,-5,0,25,95,-28
-14,0,-27,0,-7,0,-5,0,25,95,-28
-15,0,-27,0,-7,0,-5,0,25,95,-28
-16,0,-28,0,-8,0,-6,0,25,95,-28
